,Time,temp
0,00:00:00,20
1,01:00:00,20
2,02:00:00,20
3,03:00:00,20
4,04:00:00,20
5,05:00:00,20
6,06:00:00,20
7,07:00:00,20
8,08:00:00,20
9,09:00:00,20
10,10:00:00,20
11,11:00:00,20
12,12:00:00,30
13,13:00:00,30
14,14:00:00,30
15,15:00:00,30
16,16:00:00,30
17,17:00:00,30
18,18:00:00,30
19,19:00:00,30
20,20:00:00,30
21,21:00:00,30
22,22:00:00,30
23,23:00:00,30
24,00:00:00,20
25,01:00:00,20
26,02:00:00,20
27,03:00:00,20
28,04:00:00,20
29,05:00:00,20
30,06:00:00,20
31,07:00:00,20
32,08:00:00,20
33,09:00:00,20
34,10:00:00,20
35,11:00:00,20
36,12:00:00,30
37,13:00:00,30
38,14:00:00,30
39,15:00:00,30
40,16:00:00,30
41,17:00:00,30
42,18:00:00,30
43,19:00:00,30
44,20:00:00,30
45,21:00:00,30
46,22:00:00,30
47,23:00:00,30
48,00:00:00,20
49,01:00:00,20
50,02:00:00,20
51,03:00:00,20
52,04:00:00,20
53,05:00:00,20
54,06:00:00,20
55,07:00:00,20
56,08:00:00,20
57,09:00:00,20
58,10:00:00,20
59,11:00:00,20
60,12:00:00,30
61,13:00:00,30
62,14:00:00,30
63,15:00:00,30
64,16:00:00,30
65,17:00:00,30
66,18:00:00,30
67,19:00:00,30
68,20:00:00,30
69,21:00:00,30
70,22:00:00,30
71,23:00:00,30
72,00:00:00,20
73,01:00:00,20
74,02:00:00,20
75,03:00:00,20
76,04:00:00,20
77,05:00:00,20
78,06:00:00,20
79,07:00:00,20
80,08:00:00,20
81,09:00:00,20
82,10:00:00,20
83,11:00:00,20
84,12:00:00,30
85,13:00:00,30
86,14:00:00,30
87,15:00:00,30
88,16:00:00,30
89,17:00:00,30
90,18:00:00,30
91,19:00:00,30
92,20:00:00,30
93,21:00:00,30
94,22:00:00,30
95,23:00:00,30
96,00:00:00,20
97,01:00:00,20
98,02:00:00,20
99,03:00:00,20
100,04:00:00,20
101,05:00:00,20
102,06:00:00,20
103,07:00:00,20
104,08:00:00,20
105,09:00:00,20
106,10:00:00,20
107,11:00:00,20
108,12:00:00,30
109,13:00:00,30
110,14:00:00,30
111,15:00:00,30
112,16:00:00,30
113,17:00:00,30
114,18:00:00,30
115,19:00:00,30
116,20:00:00,30
117,21:00:00,30
118,22:00:00,30
119,23:00:00,30
120,00:00:00,20
121,01:00:00,20
122,02:00:00,20
123,03:00:00,20
124,04:00:00,20
125,05:00:00,20
126,06:00:00,20
127,07:00:00,20
128,08:00:00,20
129,09:00:00,20
130,10:00:00,20
131,11:00:00,20
132,12:00:00,30
133,13:00:00,30
134,14:00:00,30
135,15:00:00,30
136,16:00:00,30
137,17:00:00,30
138,18:00:00,30
139,19:00:00,30
140,20:00:00,30
141,21:00:00,30
142,22:00:00,30
143,23:00:00,30
144,00:00:00,20
145,01:00:00,20
146,02:00:00,20
147,03:00:00,20
148,04:00:00,20
149,05:00:00,20
150,06:00:00,20
151,07:00:00,20
152,08:00:00,20
153,09:00:00,20
154,10:00:00,20
155,11:00:00,20
156,12:00:00,30
157,13:00:00,30
158,14:00:00,30
159,15:00:00,30
160,16:00:00,30
161,17:00:00,30
162,18:00:00,30
163,19:00:00,30
164,20:00:00,30
165,21:00:00,30
166,22:00:00,30
167,23:00:00,30
168,00:00:00,20
169,01:00:00,20
170,02:00:00,20
171,03:00:00,20
172,04:00:00,20
173,05:00:00,20
174,06:00:00,20
175,07:00:00,20
176,08:00:00,20
177,09:00:00,20
178,10:00:00,20
179,11:00:00,20
180,12:00:00,30
181,13:00:00,30
182,14:00:00,30
183,15:00:00,30
184,16:00:00,30
185,17:00:00,30
186,18:00:00,30
187,19:00:00,30
188,20:00:00,30
189,21:00:00,30
190,22:00:00,30
191,23:00:00,30
192,00:00:00,20
193,01:00:00,20
194,02:00:00,20
195,03:00:00,20
196,04:00:00,20
197,05:00:00,20
198,06:00:00,20
199,07:00:00,20
200,08:00:00,20
201,09:00:00,20
202,10:00:00,20
203,11:00:00,20
204,12:00:00,30
205,13:00:00,30
206,14:00:00,30
207,15:00:00,30
208,16:00:00,30
209,17:00:00,30
210,18:00:00,30
211,19:00:00,30
212,20:00:00,30
213,21:00:00,30
214,22:00:00,30
215,23:00:00,30
216,00:00:00,20
217,01:00:00,20
218,02:00:00,20
219,03:00:00,20
220,04:00:00,20
221,05:00:00,20
222,06:00:00,20
223,07:00:00,20
224,08:00:00,20
225,09:00:00,20
226,10:00:00,20
227,11:00:00,20
228,12:00:00,30
229,13:00:00,30
230,14:00:00,30
231,15:00:00,30
232,16:00:00,30
233,17:00:00,30
234,18:00:00,30
235,19:00:00,30
236,20:00:00,30
237,21:00:00,30
238,22:00:00,30
239,23:00:00,30
240,00:00:00,20
241,01:00:00,20
242,02:00:00,20
243,03:00:00,20
244,04:00:00,20
245,05:00:00,20
246,06:00:00,20
247,07:00:00,20
248,08:00:00,20
249,09:00:00,20
250,10:00:00,20
251,11:00:00,20
252,12:00:00,30
253,13:00:00,30
254,14:00:00,30
255,15:00:00,30
256,16:00:00,30
257,17:00:00,30
258,18:00:00,30
259,19:00:00,30
260,20:00:00,30
261,21:00:00,30
262,22:00:00,30
263,23:00:00,30
264,00:00:00,20
265,01:00:00,20
266,02:00:00,20
267,03:00:00,20
268,04:00:00,20
269,05:00:00,20
270,06:00:00,20
271,07:00:00,20
272,08:00:00,20
273,09:00:00,20
274,10:00:00,20
275,11:00:00,20
276,12:00:00,30
277,13:00:00,30
278,14:00:00,30
279,15:00:00,30
280,16:00:00,30
281,17:00:00,30
282,18:00:00,30
283,19:00:00,30
284,20:00:00,30
285,21:00:00,30
286,22:00:00,30
287,23:00:00,30
288,00:00:00,20
289,01:00:00,20
290,02:00:00,20
291,03:00:00,20
292,04:00:00,20
293,05:00:00,20
294,06:00:00,20
295,07:00:00,20
296,08:00:00,20
297,09:00:00,20
298,10:00:00,20
299,11:00:00,20
300,12:00:00,30
301,13:00:00,30
302,14:00:00,30
303,15:00:00,30
304,16:00:00,30
305,17:00:00,30
306,18:00:00,30
307,19:00:00,30
308,20:00:00,30
309,21:00:00,30
310,22:00:00,30
311,23:00:00,30
312,00:00:00,20
313,01:00:00,20
314,02:00:00,20
315,03:00:00,20
316,04:00:00,20
317,05:00:00,20
318,06:00:00,20
319,07:00:00,20
320,08:00:00,20
321,09:00:00,20
322,10:00:00,20
323,11:00:00,20
324,12:00:00,30
325,13:00:00,30
326,14:00:00,30
327,15:00:00,30
328,16:00:00,30
329,17:00:00,30
330,18:00:00,30
331,19:00:00,30
332,20:00:00,30
333,21:00:00,30
334,22:00:00,30
335,23:00:00,30
336,00:00:00,20
337,01:00:00,20
338,02:00:00,20
339,03:00:00,20
340,04:00:00,20
341,05:00:00,20
342,06:00:00,20
343,07:00:00,20
344,08:00:00,20
345,09:00:00,20
346,10:00:00,20
347,11:00:00,20
348,12:00:00,30
349,13:00:00,30
350,14:00:00,30
351,15:00:00,30
352,16:00:00,30
353,17:00:00,30
354,18:00:00,30
355,19:00:00,30
356,20:00:00,30
357,21:00:00,30
358,22:00:00,30
359,23:00:00,30
360,00:00:00,20
361,01:00:00,20
362,02:00:00,20
363,03:00:00,20
364,04:00:00,20
365,05:00:00,20
366,06:00:00,20
367,07:00:00,20
368,08:00:00,20
369,09:00:00,20
370,10:00:00,20
371,11:00:00,20
372,12:00:00,30
373,13:00:00,30
374,14:00:00,30
375,15:00:00,30
376,16:00:00,30
377,17:00:00,30
378,18:00:00,30
379,19:00:00,30
380,20:00:00,30
381,21:00:00,30
382,22:00:00,30
383,23:00:00,30
384,00:00:00,20
385,01:00:00,20
386,02:00:00,20
387,03:00:00,20
388,04:00:00,20
389,05:00:00,20
390,06:00:00,20
391,07:00:00,20
392,08:00:00,20
393,09:00:00,20
394,10:00:00,20
395,11:00:00,20
396,12:00:00,30
397,13:00:00,30
398,14:00:00,30
399,15:00:00,30
400,16:00:00,30
401,17:00:00,30
402,18:00:00,30
403,19:00:00,30
404,20:00:00,30
405,21:00:00,30
406,22:00:00,30
407,23:00:00,30
408,00:00:00,20
409,01:00:00,20
410,02:00:00,20
411,03:00:00,20
412,04:00:00,20
413,05:00:00,20
414,06:00:00,20
415,07:00:00,20
416,08:00:00,20
417,09:00:00,20
418,10:00:00,20
419,11:00:00,20
420,12:00:00,30
421,13:00:00,30
422,14:00:00,30
423,15:00:00,30
424,16:00:00,30
425,17:00:00,30
426,18:00:00,30
427,19:00:00,30
428,20:00:00,30
429,21:00:00,30
430,22:00:00,30
431,23:00:00,30
432,00:00:00,20
433,01:00:00,20
434,02:00:00,20
435,03:00:00,20
436,04:00:00,20
437,05:00:00,20
438,06:00:00,20
439,07:00:00,20
440,08:00:00,20
441,09:00:00,20
442,10:00:00,20
443,11:00:00,20
444,12:00:00,30
445,13:00:00,30
446,14:00:00,30
447,15:00:00,30
448,16:00:00,30
449,17:00:00,30
450,18:00:00,30
451,19:00:00,30
452,20:00:00,30
453,21:00:00,30
454,22:00:00,30
455,23:00:00,30
456,00:00:00,20
457,01:00:00,20
458,02:00:00,20
459,03:00:00,20
460,04:00:00,20
461,05:00:00,20
462,06:00:00,20
463,07:00:00,20
464,08:00:00,20
465,09:00:00,20
466,10:00:00,20
467,11:00:00,20
468,12:00:00,30
469,13:00:00,30
470,14:00:00,30
471,15:00:00,30
472,16:00:00,30
473,17:00:00,30
474,18:00:00,30
475,19:00:00,30
476,20:00:00,30
477,21:00:00,30
478,22:00:00,30
479,23:00:00,30
480,00:00:00,20
481,01:00:00,20
482,02:00:00,20
483,03:00:00,20
484,04:00:00,20
485,05:00:00,20
486,06:00:00,20
